mood,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,timeSignature
calm,0.915,0.743,0.192,0.847,0.193,-22.255,0.418,85.015,0.399,4
calm,0.328,0.497,0.582,0.923,0.108,-5.581,0.339,171.891,0.452,4
calm,0.843,0.746,0.314,0.927,0.0814,-11.632,0.0518,85.038,0.334,4
calm,0.898,0.659,0.246,0.774,0.363,-18.875,0.0534,120.002,0.147,4
calm,0.777,0.379,0.146,0.966,0.129,-19.504,0.0511,120.147,0.0882,4
calm,0.72,0.727,0.366,0.902,0.109,-7.864,0.158,173.918,0.545,4
calm,0.862,0.784,0.152,0.958,0.0942,-15.078,0.0716,84.008,0.584,3
calm,0.745,0.547,0.371,0.936,0.151,-10.42,0.0586,131.066,0.801,4
calm,0.419,0.528,0.378,0.866,0.0974,-11.257,0.722,159.45,0.425,4
calm,0.543,0.541,0.2,0.879,0.0922,-14.42,0.118,173.943,0.23,4
calm,0.261,0.6,0.219,0.109,0.134,-14.261,0.286,91.313,0.311,4
calm,0.762,0.693,0.501,0.891,0.111,-8.029,0.112,90.01,0.284,4
calm,0.898,0.63,0.141,0.947,0.111,-14.312,0.0423,81.908,0.777,4
calm,0.383,0.663,0.712,0.216,0.16,-3.782,0.0593,79.993,0.566,4
calm,0.532,0.536,0.185,0.701,0.124,-12.858,0.444,152.146,0.679,4
calm,0.61,0.586,0.377,0.87,0.101,-9.75,0.0436,159.917,0.161,4
calm,0.499,0.705,0.205,0.885,0.148,-13.291,0.0527,85.014,0.461,4
calm,0.8,0.685,0.172,0.928,0.137,-13.917,0.0651,78.979,0.237,4
calm,0.693,0.34,0.767,0.0688,0.222,-6.598,0.0417,164.814,0.064,4
calm,0.716,0.62,0.432,0.351,0.196,-8.984,0.154,91.115,0.668,4
calm,0.753,0.647,0.224,0.883,0.111,-18.37,0.0732,79.968,0.495,4
calm,0.0644,0.812,0.311,0.792,0.0998,-14.033,0.164,140.158,0.829,4
calm,0.283,0.682,0.147,0.0192,0.133,-15.461,0.311,85.038,0.296,4
calm,0.813,0.547,0.376,0.868,0.155,-9.531,0.0412,140.674,0.466,4
calm,0.636,0.779,0.34,0.135,0.26,-11.594,0.0721,82.003,0.228,4
calm,0.763,0.646,0.559,0.789,0.673,-7.784,0.108,180.058,0.272,4
calm,0.82,0.743,0.31,0.0307,0.312,-15.428,0.121,81.98,0.43,4
calm,0.316,0.335,0.277,0.879,0.125,-16.849,0.0315,95.829,0.406,3
calm,0.395,0.869,0.55,0.902,0.0906,-13.357,0.0685,82.064,0.333,4
calm,0.822,0.724,0.24,0.415,0.115,-13.317,0.275,173.945,0.461,4
calm,0.0447,0.679,0.464,0.86,0.128,-8.174,0.0792,85.996,0.394,4
calm,0.0184,0.887,0.161,0.845,0.0765,-12.325,0.442,159.977,0.0833,4
